time,sym,side,price,size
09:00:02.834,GOOG,B,779.75,500
09:00:05.003,GOOG,B,779.85,100
09:00:05.520,APPL,S,120.3,300
09:00:05.828,HSBC,S,80.2,700
09:00:09.941,FDP,S,5.15,500
09:00:10.662,HSBC,S,80.4,600
09:00:10.784,APPL,B,119.55,500
09:00:11.095,REYA,B,44.7,100
09:00:14.478,HSBC,S,80.45,100
09:00:15.509,HSBC,S,80.3,700
09:00:16.419,REYA,B,44.65,1000
09:00:23.410,FDP,B,4.75,500
09:00:23.951,REYA,S,45.2,300
09:00:25.109,APPL,S,120.2,700
09:00:25.207,HSBC,S,80.3,700
09:00:25.722,HSBC,B,79.65,900
09:00:26.545,HSBC,B,79.95,900
09:00:28.264,GOOG,B,779.95,500
09:00:30.025,FDP,B,4.75,100
09:00:30.569,FDP,B,4.75,500
09:00:32.657,REYA,S,45.25,400
09:00:38.990,APPL,S,120.4,100
09:00:39.161,GOOG,S,780.2,500
09:00:40.062,APPL,S,120.1,1000
09:00:45.960,REYA,S,45.5,100
09:00:47.420,HSBC,S,80.3,600
09:00:47.446,FDP,S,5.4,100
09:00:53.699,APPL,B,119.55,400
09:00:58.489,FDP,S,5.05,200
09:01:01.026,GOOG,S,780.25,400
09:01:03.213,HSBC,S,80.35,600
09:01:05.798,FDP,B,4.8,400
09:01:08.941,REYA,S,45.35,400
09:01:09.513,FDP,B,4.7,200
09:01:13.383,GOOG,B,779.6,600
09:01:14.470,GOOG,S,780.15,700
09:01:15.690,GOOG,S,780.4,100
09:01:18.818,HSBC,S,80.2,100
09:01:19.345,HSBC,S,80.45,200
09:01:20.878,FDP,B,4.55,300
09:01:21.386,APPL,S,120.4,400
09:01:22.711,HSBC,S,80.4,100
09:01:23.899,REYA,B,44.9,300
09:01:29.533,GOOG,S,780.4,1000
09:01:29.834,FDP,B,4.65,600
09:01:32.056,FDP,S,5.5,100
09:01:35.128,APPL,B,119.65,200
09:01:35.293,FDP,B,4.7,1000
09:01:38.275,FDP,B,4.8,1000
09:01:38.885,HSBC,B,79.75,800
09:01:42.345,HSBC,B,79.8,100
09:01:44.117,HSBC,B,79.9,500
09:01:48.367,FDP,S,5.1,600
09:01:51.566,REYA,S,45.4,800
09:01:52.805,HSBC,B,79.55,300
09:01:53.980,FDP,B,4.6,200
09:01:58.549,HSBC,B,79.75,400
09:02:01.955,HSBC,B,79.85,300
09:02:05.525,APPL,S,120.1,600
09:02:05.758,REYA,B,44.5,1000
09:02:10.979,HSBC,S,80.15,300
09:02:13.881,GOOG,S,780.45,400
09:02:17.354,FDP,S,5.5,800
09:02:20.310,GOOG,B,779.95,600
09:02:21.544,REYA,B,44.5,200
09:02:23.904,REYA,S,45.2,700
09:02:27.597,GOOG,S,780.1,500
09:02:28.276,GOOG,B,779.6,1000
09:02:29.820,REYA,B,44.85,800
09:02:29.823,REYA,B,44.85,700
09:02:31.518,HSBC,B,79.6,1000
09:02:32.551,GOOG,S,780.45,400
09:02:43.115,APPL,B,119.6,300
09:02:46.884,HSBC,B,79.9,400
09:02:52.441,HSBC,S,80.05,900
09:02:52.651,HSBC,S,80.1,200
09:02:53.643,GOOG,B,779.5,1000
09:02:53.830,REYA,S,45.05,500
09:02:58.372,GOOG,S,780.15,200
09:02:59.128,APPL,S,120.35,500
09:03:13.653,GOOG,B,779.65,300
09:03:21.734,FDP,B,4.85,1000
09:03:23.886,GOOG,B,779.5,900
09:03:28.548,GOOG,B,779.95,800
09:03:31.034,HSBC,B,79.6,300
09:03:31.714,APPL,S,120.45,700
09:03:32.342,APPL,S,120.35,1000
09:03:34.227,HSBC,B,79.75,300
09:03:36.505,REYA,S,45.5,400
09:03:39.634,HSBC,B,79.55,700
09:03:40.782,APPL,B,119.55,200
09:03:40.965,FDP,S,5.35,100
09:03:40.995,FDP,B,4.85,400
09:03:41.259,GOOG,B,779.7,600
09:03:42.300,REYA,S,45.4,700
09:03:42.661,HSBC,B,79.75,400
09:03:43.790,GOOG,B,779.55,200
09:03:44.644,FDP,S,5.4,300
09:03:48.271,GOOG,B,779.5,500
09:03:52.345,REYA,B,44.6,1000
09:03:56.020,APPL,B,119.8,500
09:03:57.406,GOOG,S,780.5,800
09:03:59.737,GOOG,B,779.65,700
09:04:03.073,FDP,B,4.85,500
09:04:04.561,HSBC,B,79.95,900
09:04:06.626,GOOG,S,780.1,1000
09:04:17.194,APPL,B,119.95,800
09:04:19.153,HSBC,S,80.05,400
09:04:22.436,GOOG,B,779.75,900
09:04:32.940,HSBC,B,79.95,900
09:04:36.305,REYA,B,44.9,300
09:04:41.150,GOOG,B,779.9,300
